No.,Time,Source,Destination,Protocol,Length,IP Len,TCP Len,HTTP Data Len,Info,File Data,TCP Seq,TCP Next Seq
3364,2515.251153,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3369,2515.771101,172.28.150.236,172.28.150.15,TCP,60,40,0,,"90  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3427,2575.608971,172.28.150.236,172.28.150.15,TCP,60,44,0,,91  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3429,2575.609232,172.28.150.236,172.28.150.15,TCP,60,40,0,,91  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3430,2575.617904,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3431,2575.622172,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3433,2575.626178,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3438,2576.112908,172.28.150.236,172.28.150.15,TCP,60,40,0,,"91  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3502,2635.933848,172.28.150.236,172.28.150.15,TCP,60,44,0,,92  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3506,2635.934261,172.28.150.236,172.28.150.15,TCP,60,40,0,,92  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3507,2635.942951,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3508,2635.947197,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3510,2635.950837,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3515,2636.413884,172.28.150.236,172.28.150.15,TCP,60,40,0,,"92  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3572,2696.209145,172.28.150.236,172.28.150.15,TCP,60,44,0,,93  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3576,2696.209589,172.28.150.236,172.28.150.15,TCP,60,40,0,,93  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3577,2696.218391,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3578,2696.222706,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3580,2696.226423,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3585,2696.711716,172.28.150.236,172.28.150.15,TCP,60,40,0,,"93  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3649,2756.53456,172.28.150.236,172.28.150.15,TCP,60,44,0,,94  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3651,2756.534819,172.28.150.236,172.28.150.15,TCP,60,40,0,,94  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3652,2756.543493,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3653,2756.547745,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3655,2756.55167,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3659,2757.021436,172.28.150.236,172.28.150.15,TCP,60,40,0,,"94  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3716,2816.85942,172.28.150.236,172.28.150.15,TCP,60,44,0,,95  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3720,2816.859908,172.28.150.236,172.28.150.15,TCP,60,40,0,,95  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3721,2816.868611,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3722,2816.872932,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3724,2816.876578,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3729,2817.331814,172.28.150.236,172.28.150.15,TCP,60,40,0,,"95  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3798,2877.134586,172.28.150.236,172.28.150.15,TCP,60,44,0,,96  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3800,2877.134845,172.28.150.236,172.28.150.15,TCP,60,40,0,,96  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3801,2877.143661,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3802,2877.147905,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3804,2877.151538,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3807,2877.363958,172.28.150.236,172.28.150.15,TCP,60,40,0,,"96  >  8080 [RST, ACK] Seq=398 Ack=289 Win=0 Len=0",,398,
3867,2937.409688,172.28.150.236,172.28.150.15,TCP,60,44,0,,97  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3871,2937.409999,172.28.150.236,172.28.150.15,TCP,60,40,0,,97  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3872,2937.418743,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3873,2937.42301,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3875,2937.426636,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3880,2937.896749,172.28.150.236,172.28.150.15,TCP,60,40,0,,"97  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3944,2997.73524,172.28.150.236,172.28.150.15,TCP,60,44,0,,98  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3948,2997.735724,172.28.150.236,172.28.150.15,TCP,60,40,0,,98  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3949,2997.744473,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3950,2997.748721,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3952,2997.752705,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3957,2998.268712,172.28.150.236,172.28.150.15,TCP,60,40,0,,"98  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3984,3025.47449,172.28.150.236,172.28.150.15,TCP,60,44,0,,99  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3986,3025.474719,172.28.150.236,172.28.150.15,TCP,60,40,0,,99  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3987,3025.483616,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3988,3025.488018,172.28.150.236,172.28.150.15,TCP,139,125,85,,[TCP segment of a reassembled PDU],,270,355
3990,3025.494255,172.28.150.236,172.28.150.15,HTTP,192,178,138,223,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Counters&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Counter%22%3A%7B%22TubesValue%22%3A0%2C%22BoxValue%22%3A0%2C%22BillValue%22%3A0%2C%22BillCont%22%3A0%2C%22Counters%22%3A%5B%5D%7D%7D,355,493
3996,3026.008674,172.28.150.236,172.28.150.15,TCP,60,40,0,,"99  >  8080 [RST, ACK] Seq=493 Ack=2 Win=0 Len=0",,493,
4031,3058.100118,172.28.150.236,172.28.150.15,TCP,60,44,0,,100  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4033,3058.100399,172.28.150.236,172.28.150.15,TCP,60,40,0,,100  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4034,3058.109168,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4035,3058.113434,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4037,3058.117082,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4041,3058.549707,172.28.150.236,172.28.150.15,TCP,60,40,0,,"100  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4106,3118.375287,172.28.150.236,172.28.150.15,TCP,60,44,0,,101  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4110,3118.375742,172.28.150.236,172.28.150.15,TCP,60,40,0,,101  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4111,3118.384409,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4112,3118.388698,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4114,3118.392404,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4118,3118.860339,172.28.150.236,172.28.150.15,TCP,60,40,0,,"101  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4176,3178.700778,172.28.150.236,172.28.150.15,TCP,60,44,0,,102  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4180,3178.701167,172.28.150.236,172.28.150.15,TCP,60,40,0,,102  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4181,3178.709963,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4182,3178.714217,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4184,3178.718208,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4188,3179.192333,172.28.150.236,172.28.150.15,TCP,60,40,0,,"102  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4253,3239.025808,172.28.150.236,172.28.150.15,TCP,60,44,0,,103  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4255,3239.026065,172.28.150.236,172.28.150.15,TCP,60,40,0,,103  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4256,3239.03477,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4257,3239.039129,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4259,3239.042814,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4263,3239.488376,172.28.150.236,172.28.150.15,TCP,60,40,0,,"103  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4325,3299.251174,172.28.150.236,172.28.150.15,TCP,60,44,0,,104  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4329,3299.251621,172.28.150.236,172.28.150.15,TCP,60,40,0,,104  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4330,3299.260425,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4331,3299.264699,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4333,3299.268641,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4336,3299.482405,172.28.150.236,172.28.150.15,TCP,60,40,0,,"104  >  8080 [RST, ACK] Seq=398 Ack=289 Win=0 Len=0",,398,
4423,3359.576075,172.28.150.236,172.28.150.15,TCP,60,44,0,,105  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4425,3359.57631,172.28.150.236,172.28.150.15,TCP,60,40,0,,105  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4426,3359.585005,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4427,3359.589243,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4429,3359.592882,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4434,3359.905349,172.28.150.236,172.28.150.15,TCP,60,40,0,,"105  >  8080 [RST, ACK] Seq=398 Ack=289 Win=0 Len=0",,398,
4492,3420.001542,172.28.150.236,172.28.150.15,TCP,60,44,0,,106  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4496,3420.00207,172.28.150.236,172.28.150.15,TCP,60,40,0,,106  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4497,3420.010683,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4498,3420.015067,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4500,3420.019049,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4504,3420.48099,172.28.150.236,172.28.150.15,TCP,60,40,0,,"106  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4569,3480.326396,172.28.150.236,172.28.150.15,TCP,60,44,0,,107  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4573,3480.326886,172.28.150.236,172.28.150.15,TCP,60,40,0,,107  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4574,3480.335579,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4575,3480.339875,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4577,3480.343499,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4581,3480.557975,172.28.150.236,172.28.150.15,TCP,60,40,0,,"107  >  8080 [RST, ACK] Seq=398 Ack=289 Win=0 Len=0",,398,
4638,3540.601541,172.28.150.236,172.28.150.15,TCP,60,44,0,,108  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4640,3540.601768,172.28.150.236,172.28.150.15,TCP,60,40,0,,108  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4641,3540.61051,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4642,3540.614826,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4644,3540.618471,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4649,3541.131498,172.28.150.236,172.28.150.15,TCP,60,40,0,,"108  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4713,3600.97683,172.28.150.236,172.28.150.15,TCP,60,44,0,,109  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4718,3600.977299,172.28.150.236,172.28.150.15,TCP,60,40,0,,109  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4719,3600.985972,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4720,3600.990229,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4722,3600.993891,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4726,3601.473325,172.28.150.236,172.28.150.15,TCP,60,40,0,,"109  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4740,3613.67568,172.28.150.236,172.28.150.15,TCP,60,44,0,,110  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4742,3613.675918,172.28.150.236,172.28.150.15,TCP,60,40,0,,110  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4743,3613.684747,172.28.150.236,172.28.150.15,TCP,324,310,270,,[TCP segment of a reassembled PDU],,1,271
4744,3613.689095,172.28.150.236,172.28.150.15,TCP,136,122,82,,[TCP segment of a reassembled PDU],,271,353
4746,3613.712756,172.28.150.236,172.28.150.15,TCP,902,888,848,,[TCP segment of a reassembled PDU],,353,1201
4747,3613.735851,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,1201,2031
4749,3613.758837,172.28.150.236,172.28.150.15,TCP,876,862,822,,[TCP segment of a reassembled PDU],,2031,2853
4750,3613.781571,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,2853,3669
4752,3613.804635,172.28.150.236,172.28.150.15,TCP,874,860,820,,[TCP segment of a reassembled PDU],,3669,4489
4753,3613.827375,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,4489,5305
4755,3613.850454,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,5305,6135
4756,3613.873302,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,6135,6951
4758,3613.895998,172.28.150.236,172.28.150.15,TCP,868,854,814,,[TCP segment of a reassembled PDU],,6951,7765
4759,3613.91899,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,7765,8581
4761,3613.941709,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,8581,9397
4762,3613.947869,172.28.150.236,172.28.150.15,HTTP,195,181,141,9267,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Audit&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Audit%22%3A%7B%22Port%22%3A4%2C%22ListNumber%22%3A1%2C%22EVADTS%22%3A%22DXS%2ACOG0000000%2AVA%2AV0%2F6%2A1%5Cr%5CnST%2A001%2A0001%5Cr%5CnID1%2ACOG91619565%2A92%2A225%2,9397,9538
4768,3614.390905,172.28.150.236,172.28.150.15,TCP,60,40,0,,"110  >  8080 [RST, ACK] Seq=9538 Ack=2 Win=0 Len=0",,9538,
4781,3625.486233,172.28.150.236,172.28.150.15,TCP,60,44,0,,111  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4783,3625.486462,172.28.150.236,172.28.150.15,TCP,60,40,0,,111  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4784,3625.495161,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4785,3625.499574,172.28.150.236,172.28.150.15,TCP,139,125,85,,[TCP segment of a reassembled PDU],,270,355
4787,3625.505653,172.28.150.236,172.28.150.15,HTTP,192,178,138,223,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Counters&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Counter%22%3A%7B%22TubesValue%22%3A0%2C%22BoxValue%22%3A0%2C%22BillValue%22%3A0%2C%22BillCont%22%3A0%2C%22Counters%22%3A%5B%5D%7D%7D,355,493
4792,3625.991925,172.28.150.236,172.28.150.15,TCP,60,40,0,,"111  >  8080 [RST, ACK] Seq=493 Ack=2 Win=0 Len=0",,493,
4827,3661.262241,172.28.150.236,172.28.150.15,TCP,60,44,0,,112  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4829,3661.262482,172.28.150.236,172.28.150.15,TCP,60,40,0,,112  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4830,3661.271336,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4831,3661.275583,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4833,3661.279544,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4837,3661.70072,172.28.150.236,172.28.150.15,TCP,60,40,0,,"112  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4905,3721.537451,172.28.150.236,172.28.150.15,TCP,60,44,0,,113  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4907,3721.53773,172.28.150.236,172.28.150.15,TCP,60,40,0,,113  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4909,3721.546332,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4910,3721.55079,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4912,3721.554787,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4916,3722.032894,172.28.150.236,172.28.150.15,TCP,60,40,0,,"113  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
4976,3781.862316,172.28.150.236,172.28.150.15,TCP,60,44,0,,114  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
4980,3781.862767,172.28.150.236,172.28.150.15,TCP,60,40,0,,114  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
4981,3781.871542,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
4982,3781.875805,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
4984,3781.879444,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
4987,3782.046452,172.28.150.236,172.28.150.15,TCP,60,40,0,,"114  >  8080 [RST, ACK] Seq=398 Ack=289 Win=0 Len=0",,398,
5051,3842.087806,172.28.150.236,172.28.150.15,TCP,60,44,0,,115  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
5053,3842.088068,172.28.150.236,172.28.150.15,TCP,60,40,0,,115  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
5054,3842.096857,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
5055,3842.101185,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
5057,3842.10519,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
5063,3842.602946,172.28.150.236,172.28.150.15,TCP,60,40,0,,"115  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
